职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
ai算法工程师,本科,1-3年,"['C/C++', '大模型算法', '多模态算法']",5-7K,明辰科技,20-99人,扬州,邗江区
【Remote Work】 Front End Developer,学历不限,3-5年,"['Angular', 'Node.js', 'React']",11-20K·13薪,奥睿星火,20-99人,扬州,广陵区
机器人编程,大专,3-5年,"['Java', 'CAD']",5-6K,钧骋,100-499人,扬州,
业策运营,本科,经验不限,['业务模式/运营策略优化'],10-14K,圣都家居装饰,1000-9999人,扬州,邗江区
Java后台开发工程师,本科,1-3年,"['Java', 'Spring Boot', 'Javascript']",5-6K,江苏云展,20-99人,扬州,高邮市
高级业务策略运营经理,本科,5-10年,"['业务数据分析', '业务模式/运营策略优化', 'SQL', '不接受居家办公', '与业务高频交互']",10-14K,圣都装饰,100-499人,扬州,邗江区
研发主任工程师/高级工程师 （理论模拟）,硕士,3-5年,['不需要出差'],15-25K·13薪,晶澳(扬州)太阳能,1000-9999人,扬州,
高级图像处理算法工程师,博士,经验不限,"['Python', '图像处理库（OpenCV等）', 'MATLAB', '深度学习', '机器学习', '目标检测', 'OCR', '工业/缺陷检测']",40-65K,江苏某中型电子/半导体/集成电路公司,100-499人,扬州,
自然语言处理算法专家,本科,经验不限,"['语音算法', 'Java', '对话系统', '深度学习', '大模型算法', '多模态算法', '算法工程化经验', '知识图谱', '并行计算', '文本生成', '优秀开源项目经历', 'C/C++', '强化学习', '大数据处理工具(Spark/Hadoop/Hive)', 'Python', '模型加速/性能优化']",15-30K,扬州科曼德智能科技,0-20人,扬州,邗江区
中技开发员(J10088),本科,1-3年,"['Java', 'MySQL', 'Spring', 'Python']",6-10K,乐博,100-499人,扬州,广陵区
扬州-测试工程师,本科,3-5年,"['功能测试', '性能测试', '自动化测试', 'Python', 'Selenium', 'Postman', '计算机相关专业', '测试工作经验', '自动化测试经验']",6-10K,奥琦玮,500-999人,扬州,江都区
产业链数据分析师,本科,经验不限,"['产业链', '数据', '机械', '医药', '化工']",4-8K·13薪,万得扬州,1000-9999人,扬州,广陵区
机器人工程师,本科,3-5年,"['C++', 'QT', 'STL', 'MFC', 'Linux开发/部署经验', 'Python']",10-15K,扬州科曼德智能科技,0-20人,扬州,邗江区
python爬虫开发工程师,大专,1-3年,"['互联网', '电商']",6-8K,扬州唐梦网络科技...,20-99人,扬州,邗江区
ai算法工程师,本科,经验不限,"['语音/图像识别', '智能驾驶', '云计算', 'Python', 'C/C++']",11-20K,稻源科技集团,100-499人,扬州,
原生云架构部署运维工程师,本科,3-5年,"['网络运维', '系统运维']",10-15K,扬州唐梦网络科技...,20-99人,扬州,邗江区
数字ic验证工程师,本科,经验不限,"['Python', 'Shell', 'Verilog', 'Perl', 'IC验证']",10-15K,稻源科技集团,100-499人,扬州,江都区
研发副总裁,本科,5-10年,"['电商', '互联网', '人工智能']",40-45K,扬州唐梦网络科技...,20-99人,扬州,邗江区
职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
Python,大专,经验不限,"['Java', 'Pandas', 'MySQL', 'Numpy', 'Python']",4-8K,西格玛软件,0-20人,镇江,京口区
少儿Python老师,本科,在校/应届,"['坐班', '熟练掌握计算机语言', '理工科教育背景', '小班教学（3-25人）', '线下教育', '学前儿童/小学生']",7-10K,镇江火星科教艺术...,20-99人,镇江,润州区
周末兼职编程老师,本科,经验不限,"['图像算法', '人工智能', '计算机']",100-150元/时,扬州展创教育,100-499人,镇江,京口区
Python,大专,1-3年,"['SQL', '消息队列', '数据结构', '软件工程师', 'Unix', 'Django', 'Jenkins', 'PostgreSQL']",8-12K,数创信息科技,0-20人,镇江,京口区
linux系统运维工程师,大专,3-5年,"['网络运维', '通信相关专业', 'Docker', '系统运维', '运维开发经验', 'Python/Shell', '计算机相关专业', '运维经验']",5-6K·13薪,雾讯网络,0-20人,镇江,京口区
视觉算法工程师实习生,硕士,,"['C/C++', 'Java', 'OpenCV']",150-250元/天,江苏金海星,20-99人,镇江,京口区
Python兼职老师,本科,3-5年,"['爬虫', '数据开发', 'Python']",5000-6000元/月,上元教育,500-999人,镇江,京口区
ai算法工程师实习生,硕士,,"['C/C++', '图像算法', '深度学习', '算法工程化经验', 'Python', '模型加速/性能优化']",150-200元/天,盈华,0-20人,镇江,丹阳市
少儿编程机器人老师,大专,经验不限,"['全职兼职均可', '熟练掌握计算机语言', '理工科教育背景', '小班教学（3-25人）', '线下教育', '不坐班', '学前儿童/小学生', '一对一教学']",4000-6000元/月,东方贝乐,0-20人,镇江,京口区
AI大模型解决方案工程师,本科,3-5年,"['Java', '机器学习', '深度学习', '大模型算法', 'Python']",20-30K,择仕信息,100-499人,镇江,丹阳市
（华为）镇江软件开发/测试工程师 RMB多多,本科,经验不限,"['Python', '软件工程师', 'C', 'C++']",15-30K·16薪,华为,10000人以上,镇江,京口区
全栈工程师,中专/中技,1-3年,"['全栈开发', 'JavaScript', 'CSS', 'React', 'Vue', '小程序', 'Web端', 'PC端']",7-12K,创禾科技,0-20人,镇江,京口区
数据库工程师,本科,1-3年,"['Python', 'MySQL', 'Oracle', 'SQL Server', 'DBA工作经验', 'MySQL数据库管理经验', '计算机相关专业', 'OCP']",5-7K,瑞祥集团,1000-9999人,镇江,润州区
Python,大专,1-3年,"['算法基础', 'MySQL', '软件工程师', 'GIT', 'ERP', 'odoo', 'whs']",8-12K,镇江九桌信息技术,20-99人,镇江,
python开发工程师,本科,1-3年,['Python'],6-10K,讯勇科技,0-20人,镇江,京口区
ai算法工程师,本科,3-5年,"['大模型算法', '深度学习', '推荐算法', '大数据处理框架(Spark/Hadoop/Hive)', 'Python', '算法工程化经验']",25-35K,诺得科技,500-999人,镇江,
数学建模工程师,本科,经验不限,"['机器学习', '大模型算法', '强化学习', '推荐算法', '图像算法', '规控算法', 'C/C++', 'Python', '算法工程化经验']",6-8K,南京元理创新科技,20-99人,镇江,京口区
数据接口与平台开发工程师,本科,1-3年,"['Java', 'Spring/Spring Boot', '后端开发经验', 'Node.js', 'MySQL/Redis/MongoDB', '计算机相关专业', '前端开发经验', 'Python', '全栈项目经验', '大数据处理开发经验']",4-6K·13薪,惠享优优,0-20人,镇江,京口区
java开发工程师,大专,1-3年,"['Java', '计算机/软件工程相关经验', 'Java开发经验']",7-10K,江苏茴香豆网络科...,20-99人,镇江,润州区
【Remote Work】 Front End Developer,学历不限,3-5年,"['React', 'Angular', 'Node.js']",11-22K·13薪,奥睿星火,20-99人,镇江,京口区
少儿编程老师,大专,经验不限,['专业 有爱'],20-30元/时,尚一,0-20人,镇江,丹阳市
少儿编程老师,本科,经验不限,"['线下授课', '学前教育', '小学教育']",6-10K,励步英语丹阳校区,20-99人,镇江,丹阳市
青少年编程老师,本科,1-3年,"['培训机构', '线下教育', '坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '普通话发音标准', '心理学专业背景', '教育学专业背景']",5-7K,镇江优升学文化科技,100-499人,镇江,京口区
项目经理/主管,本科,1-3年,[],7-10K,国新健康,1000-9999人,镇江,润州区
少儿编程老师,大专,1-3年,"['信息学', '小学教育', '教师']",5-6K,书讯信息技术,0-20人,镇江,京口区
IT工程师,本科,3-5年,"['企业内部IT技术支持', 'Java']",6-10K·13薪,江苏同力日升机械,10000人以上,镇江,丹阳市
软件工程师,本科,经验不限,[],7-10K,江苏瑞克斯环保科技,20-99人,镇江,
软件技术开发,本科,3-5年,['互联网/AI'],8-13K,宏创船舶科技,20-99人,镇江,
少儿编程,大专,1-3年,"['SCRATCH', 'PYTHON', 'C++', '编程', '机器人', '老师']",5-6K,数智创客,0-20人,镇江,扬中市
少儿编程老师,大专,经验不限,['少儿编程'],6-10K,玩创智能网络,0-20人,镇江,丹阳市
Java前端开发工程师,学历不限,经验不限,"['Java', 'Vue', '前端开发经验', 'Python']",6-9K,江苏星赐链安科技,0-20人,镇江,润州区
Ai及大模型开发实习,本科,1年以内,"['意图挖掘', '发表算法相关优秀论文', 'C/C++', '语义理解', '深度学习', '大模型算法', '多模态算法', '算法工程化经验', '强化学习', '参加算法相关竞赛/获奖', '知识图谱', 'Python']",50-300元/天,镇江智栎,0-20人,镇江,润州区
云计算SRE讲师,本科,1-3年,"['线上教学', '线下教学', '职业培训班', '实操实训', '辅导答疑', '日常教学', '计算机相关专业']",8-13K·14薪,英格科技,20-99人,镇江,京口区
编程老师,本科,经验不限,['scratch、python'],4-6K,乐高创想教育,0-20人,镇江,京口区
乐高搭建老师（镇江万达校区）,大专,经验不限,"['早教', '助教', '教师', '线下授课']",4-6K,南京编之程艺术培...,100-499人,镇江,润州区
物联网运维工程师,大专,1-3年,"['Python', '容器技术', 'Linux', 'Oracle', 'SQL Server', '安全运维', '集群运维', 'Docker']",5-7K·13薪,江苏万互,20-99人,镇江,润州区
机器人老师,大专,1-3年,"['大型教育机构经验', '全职兼职均可', '熟练掌握计算机语言', '理工科教育背景', '小班教学（3-25人）', '线下教育', '不坐班', '学前儿童/小学生']",4-6K,极鹰创客,0-20人,镇江,京口区
光学工程师（薪资面议）,硕士,5-10年,"['光学设计', '激光光学设计']",1-2K,金海创,100-499人,镇江,
测试工程师,本科,1-3年,"['自动化测试', 'UI自动化测试', 'Python']",10-15K,一生一世,100-499人,镇江,
大数据运维工程师,本科,3-5年,"['容器技术', '虚拟机技术', '网络运维', '系统运维', '大数据运维', 'Linux', 'Windows']",5-7K·13薪,威鸿嘉,20-99人,镇江,润州区
基金财务与投资高级经理,本科,1-3年,[],10-15K,仅一公司,100-499人,镇江,丹阳市
少儿编程老师,大专,经验不限,['线下授课'],4-7K,中教智能,0-20人,镇江,京口区
大模型软件开发,本科,,"['深度学习', '机器学习', '大模型算法', '对话系统', '搜索算法', '多模态算法', '大数据处理工具(Spark/Hadoop/Hive)', '嵌入式开发', '分布式训练', '算法工程化经验', '参加算法相关竞赛/获奖', '模型加速/性能优化']",100-200元/天,迪飞斯,20-99人,镇江,
RPA实施工程师,本科,3-5年,['软件实施经验'],10-12K,江苏英科,500-999人,镇江,京口区
激光雷达算法感知工程师,硕士,5-10年,"['C/C++', 'Python', '激光雷达感知算法']",35-55K,某大型人力资源服务公司,1000-9999人,镇江,
少儿机器人编程教师,本科,1-3年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '全职']",6-8K,新东方,10000人以上,镇江,京口区
科研助理,硕士,3-5年,"['留学生优先', '国内院校优先', '英美留学生', '澳加留学生', '欧洲留学生']",7-10K,知小白,0-20人,镇江,京口区
教师,本科,经验不限,"['软件工程', '物联网', '计算机']",3-7K,龙芯科技培训,100-499人,镇江,京口区
综合行政员,大专,1-3年,"['接待/外联', '档案管理', '库房管理', '中型及以上活动组织经验', '熟练驾驶车辆', '具备人力经验', '理工科优先']",4-6K,优艺达,20-99人,镇江,京口区
数据库开发与维护人员,本科,3-5年,"['Python', 'Scala', 'SQL', 'Shell', 'Java', 'DataX', 'Datastage', 'Kettle']",6-11K·15薪,北京贸康,20-99人,镇江,
技术负责人（车规级惯性量测单元IMU产品）,硕士,10年以上,"['传感器', '汽车相关专业', '电子相关专业', 'CANoe/CANalyser', '车规级惯性量测单元']",35-60K,某中型半导体/芯片公司,100-499人,镇江,
算法工程师（AI方向）,硕士,3-5年,"['大模型算法', '多模态算法', '模型加速/性能优化', 'C/C++', '大数据处理框架(Spark/Hadoop/Hive)', 'Python', 'Java', 'MATLAB', '算法工程化经验', '团队管理经验', '优秀开源项目经历']",12-20K·13薪,嘉创,20-99人,镇江,京口区
技术负责人—车规级IMU,硕士,5-10年,"['电子/通信/半导体', '车规级IMU']",30-50K,某中型半导体/芯片公司,100-499人,镇江,
技术负责人（IMU产品）,本科,10年以上,"['IMU产品工艺开发', '硬件设计、软件架构', '系统集成开发', '电子/通信/半导体', 'IMU产品技术研发']",25-50K,某中型半导体/芯片公司,100-499人,镇江,
教师,本科,1年以内,"['教研', '小学教育', '初中教育', '学前教育', '线下授课', '集体授课', '全职', '乐高']",4-8K,柯林斯英语,0-20人,镇江,丹徒区
少儿Python教学老师,本科,经验不限,"['线下教育', '坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '熟练掌握计算机语言', '理工科教育背景', 'Scratch', 'Python']",7-10K,镇江火星科教艺术...,20-99人,镇江,润州区
视觉算法工程师,本科,3-5年,"['研究导向', 'C/C++', 'Python', 'OpenCV', '计算机相关专业', '机器学习算法/工程化经验', '数学/统计相关专业']",20-25K,江苏金海星,20-99人,镇江,京口区
通用软件开发/前后端/测试-大厂经验浅加班,本科,1-3年,"['Java', 'C++', 'Python', 'Spring', 'MyBatis', 'Nginx', 'MySQL', 'Redis', 'Oracle']",15-25K·16薪,华为技术有限公司,10000人以上,镇江,润州区
兼职编程老师,本科,经验不限,"['C++', '图像算法', '运维工程师', '人工智能', '软件测试', '软件工程', '物联网', '计算机']",3-7K,扬州展创教育,100-499人,镇江,京口区
运维开发工程师,本科,3-5年,[],8-10K·13薪,雾讯网络,0-20人,镇江,京口区
机器人运动控制算法工程师,本科,1-3年,"['C/C++', 'Python']",9-14K·13薪,南京元理创新科技,20-99人,镇江,京口区
【Remote Work】 Front End Developer,学历不限,3-5年,"['Node.js', 'Angular', 'React']",11-20K·13薪,奥睿星火,20-99人,镇江,京口区
Java开发工程师,本科,经验不限,"['Python', 'Java', 'MyBatis', 'Spring', 'SpringCloud', 'MySQL', 'SQL Server', '不接受居家办公', 'SpringMVC', 'Redis', 'SpringBoot', 'Spring', 'Oracle', '后端开发', 'SQL']",5-8K,西格玛软件,0-20人,镇江,京口区
全栈工程师,本科,3-5年,[],8-13K,宏创船舶科技,20-99人,镇江,
数据分析工程师,本科,3-5年,"['SQL', 'Python']",13-18K,诺得科技,500-999人,镇江,
电控工程师/电气控制工程师,本科,经验不限,[],6-8K,江苏瑞克斯环保科技,20-99人,镇江,
算法工程师,本科,,"['深度学习', '机器学习', '图像算法', 'C/C++', 'Python']",250-350元/天,盈华,0-20人,镇江,
电气工程师,本科,经验不限,[],7-11K,迪飞斯,20-99人,镇江,
智控部经理,本科,5-10年,['Python'],9-14K,仅一公司,100-499人,镇江,丹阳市
机器人教师,大专,1-3年,"['全职兼职均可', '大型教育机构经验', '坐班', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '小学教育', '初中教育', '教育培训', '线下授课']",5-8K,书讯信息技术,0-20人,镇江,京口区
高级云计算开发讲师,本科,经验不限,"['自动化运维', 'Linux', 'Python', 'Shell', 'SQL', '服务器配置', '容器技术', '虚拟机技术']",8-13K·14薪,英格科技,20-99人,镇江,京口区
技术负责人,硕士,10年以上,"['电子/通信/半导体', '车规级', 'IMU']",35-55K,某中型半导体/芯片公司,100-499人,镇江,
兼职C/C++教学,本科,经验不限,['C++'],100-300元/时,镇江火星科教艺术...,20-99人,镇江,润州区
