职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
IT工程师（MES/ERP方向）,大专,5-10年,"['ERP/OA/CRM实施维护经验', '计算机/网络系统工程师', 'OMS/WMS/TMS实施维护经验']",84,维业达南通,中型企业,南通,崇川区
机器人老师,本科,1-3年,"['接受实习/在校生投递', '坐班', '中学生', '熟练掌握计算机语言', '理工科教育背景', '小班教学（3-25人）', '线下教育', '课程/课件研发', '学前儿童/小学生', '全职']",78,格方乐融,小型企业,南通,
c++软件开发工程师,本科,3-5年,"['C++', 'C', 'Python', 'QT', 'Linux开发/部署经验', '嵌入式软件经验', '上位机开发经验', 'python', 'CMake', 'svn']",258,某电子公司,小型企业,南通,
对日 软件开发工程师,大专,5-10年,"['Java', '不接受居家办公', '微服务经验', 'MySQL', 'Spring']",252,大连睿亭,微型企业,南通,
python开发工程师,本科,3-5年,"['Python', 'C++', 'C#', 'windows开发']",188,百林科,中大型企业,南通,如皋市
风控策略分析师,本科,3-5年,"['SQL', 'Python', '金融行业数据相关经验']",270,冰草,小型企业,南通,崇川区
Python开发工程师,本科,3-5年,['python'],162,海赛,小型企业,南通,海门区
少儿Python老师,大专,经验不限,"['Java', '接受实习/在校生投递', '编程 计算机', '机器学习经验', '云计算经验', 'Python']",72,南通腾骉文化传媒,微型企业,南通,
python讲师,大专,经验不限,"['Python', 'C/C++', '计算机相关专业']",72,乐其优倍,小型企业,南通,
ai软件开发工程师,本科,3-5年,[],240,某大型服装公司,中大型企业,南通,
数据分析师,学历不限,经验不限,"['SQL', 'Python', 'Excel']",240,南通三翔信息科技...,小型企业,南通,如东县
信息奥赛老师 计算机老师,本科,经验不限,"['信息奥赛', 'c++', '少儿兴趣班', 'NOIP课程教学经验', 'C语言', '计算机相关专业', '考核测评', 'C++项目开发经验', '辅导答疑', '线下教学', '院校专业课', '日常教学', 'Python']",136,尔堂文化传媒,小型企业,南通,海安市
人工智能算法工程师,本科,1-3年,"['深度学习', '机器学习', '大模型算法', '强化学习', '运筹优化算法', '多模态算法', '模型加速/性能优化', 'C/C++', 'Python', '大数据处理框架(Spark/Hadoop/Hive)', '算法工程化经验']",162,小猿教育,中型企业,南通,如皋市
高级安卓程序员,本科,3-5年,"['Java', 'Android开发经验', '架构设计/优化', 'Android客户端产品研发', '研发流程优化']",195,创斯达科技,中型企业,南通,
运维交付工程师,大专,1-3年,"['实施交付运维', '系统运维', 'Java', 'Python/Shell']",90,德科信息有限公司,大型企业,南通,
大模型数据工程师（上海）,硕士,经验不限,"['搜索算法', '分布式训练', '深度学习', '大模型算法', '自然语言处理算法', '多模态算法', '大数据处理框架(Spark/Hadoop/Hive)', '并行计算', '推荐算法', 'C/C++', '机器学习', '强化学习', '模型加速/性能优化', 'Python']",600,凌志软件,大型企业,南通,如皋市
少儿编程老师,本科,1-3年,['编程 竞赛 考级'],78,南通初阳教育咨询...,微型企业,南通,崇川区
测试开发工程师,本科,3-5年,"['测试工程师', '自动化测试', '接口测试', '性能测试', '测试开发', 'web端测试', '黑盒测试', '功能测试']",252,京东科技集团,大型企业,南通,崇川区
少儿编程老师（双休）,本科,3-5年,"['少儿编程', '编程', 'pyhton', 'C++']",90,码高教育,微型企业,南通,崇川区
乐高机器人老师,大专,1-3年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '全职']",72,赛若,微型企业,南通,崇川区
算法工程师/python,本科,3-5年,"['Python', 'C++', 'Java', 'nosql', 'Git', '消费电子']",240,某大型知名智能硬件上市公司,超大型企业,南通,
对日软件开发工程师,大专,经验不限,"['Java', 'C#', 'MySQL', 'Redis', 'Oracle', 'SQL Server', '不接受居家办公', 'Spring', 'SpringCloud', 'MyBatis', '日语']",227,纽康数研,中型企业,南通,崇川区
数据要素专家,硕士,5-10年,[],540,某大型互联网公司,中型企业,南通,
游戏服务器PHP开发工程师,本科,1-3年,"['PHP', 'MySQL/Redis/MongoDB', '计算机相关专业', 'PHP开发经验', '游戏', '服务器']",120,达趣,小型企业,南通,
AI软件开发工程师,本科,3-5年,"['Python', 'C#', 'C++', 'PyTorch', 'MySQL', '团队管理经验', '架构设计经验', '机器学习经验']",150,JACKBEANIE,中大型企业,南通,
AI工程师（软件工程师）,本科,1-3年,"['PyTorch', '架构设计经验', 'Python']",123,展华电子,大型企业,南通,
爬虫工程师,本科,1-3年,"['python', '反爬']",90,淘金合创,中型企业,南通,崇川区
计算机视觉和图像处理工程师,硕士,3-5年,"['深度学习', '机器学习', '大模型算法', '图像生成', 'SLAM算法', '图像搜索', 'C/C++', 'Python', '图像处理库（OpenCV等）', '团队管理经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', '热爱运动、持续学习']",210,腾特体育,小型企业,南通,崇川区
全栈工程师,本科,经验不限,"['Java', '.NET', 'Golang', '全栈项目经验', '后端开发经验']",150,南通景语网络科技,微型企业,南通,海安市
开发人员-日本工作方向,大专,1-3年,"['Java', '不接受居家办公', 'C', '日本工作方向', 'SpringCloud', 'MySQL', 'MyBatis', '架构设计经验', 'Spring']",246,南通苏慧,小型企业,南通,崇川区
it,学历不限,经验不限,['企业内部IT技术支持'],90,江苏大亘海洋科技,小型企业,南通,
AI软件开发工程师,本科,1-3年,['Python'],90,南通恒欧文化传媒,微型企业,南通,
视觉工程师,本科,3-5年,"['机器学习', '图像处理库（OpenCV等）', '图像生成']",150,中天智能装备,中型企业,南通,崇川区
服务器开发工程师,本科,1-3年,"['Java', '数据库开发经验', '游戏引擎', 'OpenGL', 'STL', '软件工程师', '网络协议', '网络编程', 'MySQL', 'JavaScript', 'PHP', 'Lua', '架构设计经验', '游戏后端经验', '后端开发', '游戏开发', 'Python']",186,不沉默软件开发,微型企业,南通,
软件开发,本科,1-3年,"['Python', 'Django', 'Flask', 'MySQL', 'Redis']",123,逸米电商,微型企业,南通,崇川区
前端开发工程师,大专,3-5年,[],108,南通环宇网络科技,微型企业,南通,海安市
实施顾问,本科,经验不限,"['ERP', '计算机相关专业', '财务相关专业', '软件实施经验', '熟练掌握SQL语句', '可适应出差', 'python']",78,江苏浪潮,小型企业,南通,
web前端,大专,经验不限,['前端开发'],66,乐塔克教育,微型企业,南通,如皋市
资深全栈工程师,本科,5-10年,[],126,码能软件,微型企业,南通,海安市
c++工程师,本科,5-10年,"['C#', 'C++', '嵌入式软件经验', 'Python']",162,南通斯密特森光电科技,中型企业,南通,如皋市
Linux运维工程师,大专,1-3年,"['运维工程师', 'Shell', 'Python']",66,帝联网络,中型企业,南通,崇川区
电气项目工程师,本科,经验不限,[],60,北京明祈科技有限公司,微型企业,南通,如皋市
全栈开发工程师,本科,3-5年,['Java'],138,南通艺影安防技术,微型企业,南通,
全栈工程师,大专,3-5年,[],150,上海猫小鼬信息科技,小型企业,南通,
急招！系统测试员/月薪1W+,大专,3-5年,"['Java', 'Python', '周末双休']",126,南通欣云金信息科技,小型企业,南通,
软件工程师,大专,3-5年,"['机器学习工程经验', 'Golang', 'Pyspider', 'Go', 'Redis', '软件工程师', '后端', 'SQL Server', 'Linux', '服务端开发经验', '机器学习/算法工程', '算法基础', 'MySQL', 'Python']",120,祐云信息,小型企业,南通,
AI软件开发工程师,本科,经验不限,"['AI', 'Azure AI', 'AI 应用']",240,某大型已上市公司,超大型企业,南通,
机器人教师,本科,经验不限,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '熟练掌握计算机语言', '理工科教育背景', '课程/课件研发', '销售经验', '全职']",66,南通乐宝,小型企业,南通,崇川区
投标分析师,大专,3-5年,"['SQL', 'Python', 'Power BI', 'SAS', '数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验', '机器学习建模经验', '数据分析', '大模型', '数据挖掘']",114,汇巨市政,小型企业,南通,崇川区
智能计划专员(J14986),本科,1-3年,"['大模型算法', '强化学习', '运筹优化算法', 'C/C++', 'Python', 'Java', '生产运筹学']",162,深南电路,超大型企业,南通,
运维工程师,大专,3-5年,"['Elasticsearch', 'Linux', '系统运维', 'MySQL', '服务器配置', 'Python/Shell', 'Windows', 'SQL Server']",136,九头牛科技,小型企业,南通,海安市
大数据爬虫工程师,本科,3-5年,[],240,某江苏地区中型互联网服务公司,中大型企业,南通,
Python,硕士,3-5年,"['Python', 'Flask', 'Docker', 'MongoDB', 'MySQL', '爬虫经验']",210,赫居设计,小型企业,南通,
后端开发,本科,1-3年,[],246,某大型保险上市公司,大型企业,南通,
Java后端工程师,本科,1-3年,['后端工程师'],126,品亨进出口,微型企业,南通,崇川区
运维开发工程师,大专,1-3年,"['Python', '自动化运维', 'K8S', 'Docker', 'Jenkins', 'CI/CD', 'CDN']",114,比目鱼数字科技,中型企业,南通,崇川区
IT技术支持,大专,1-3年,"['企业内部IT技术支持', 'ERP/OA/CRM支持经验']",175,伟信博源,微型企业,南通,
三维GIS应用工程师,硕士,经验不限,"['地理信息/测绘工程相关专业', 'QGIS', 'MapGIS', 'Python']",102,南通测绘院,中型企业,南通,崇川区
测试设备开发工程师,本科,1-3年,['LabView'],90,江苏威尔曼,中大型企业,南通,海安市
算法工程师,硕士,1-3年,"['C/C++', 'Java', '机器学习', '图像算法', '深度学习', 'Python']",360,江苏银服智能装备,小型企业,南通,
深度学习算法工程师,本科,1-3年,"['深度学习算法', 'Python', 'TensorFlow', 'Caffe']",192,维视科技,微型企业,南通,崇川区
少儿编程老师,本科,在校/应届,['少儿编程、计算机老师'],66,好思优学科技培训,微型企业,南通,海门区
光纤传感研发工程师,本科,3-5年,['光纤传感器'],360,某大型通信/网络设备上市公司,超大型企业,南通,
安卓开发工程师,本科,1-3年,"['Android SDK', 'java', 'Android UI', 'Java', 'AndroidStudio']",102,畅言网络,微型企业,南通,崇川区
软件开发工程师,本科,3-5年,"['C#', 'MySQL']",114,联格科技,微型企业,南通,崇川区
算法科学家,硕士,经验不限,"['深度学习', '图像算法', 'C/C++', 'Python', '算法工程化经验', '发表算法相关优秀论文']",480,宇佑船舶,小型企业,南通,
AI应用开发工程师,本科,3-5年,"['C/C++', '深度学习', '大模型算法', '图像处理库（OpenCV等）', '其他', '人像算法', '优秀开源项目经历', 'Python', '模型加速/性能优化']",240,微功夫,小型企业,南通,崇川区
后端开发工程师,本科,1-3年,"['Java', 'Spring', 'SpringCloud', 'Kafka', 'Tomcat', 'MySQL', '架构设计经验', '微服务经验', '分布式经验', '团队管理经验']",136,智行未来,小型企业,南通,崇川区
AI图像处理,本科,1-3年,"['深度学习', '大模型算法', '图像生成', '图像处理库（OpenCV等）', '发表算法相关优秀论文', '模型加速/性能优化']",227,立铠,超大型企业,南通,如皋市
Python开发,本科,1年以内,"['Python', 'SQL', '计算机软件', 'ERP']",72,今晨科技,微型企业,南通,崇川区
程序开发网络工程师,本科,经验不限,"['Java', 'C++', 'Django', 'MySQL', 'Tornado', 'MongoDB', 'Oracle', 'Python', 'Flask']",120,惠尔海事,小型企业,南通,
测试,本科,经验不限,['硬件测试'],90,南通朝辉,微型企业,南通,崇川区
软件测试工程师,本科,3-5年,['高通平台'],123,美格智能,大型企业,南通,
软件工程师,本科,3-5年,"['软件工程师', '网络编程']",114,硕与硕,小型企业,南通,
全栈工程师,本科,3-5年,"['全栈无侧重', 'Vue', 'React', 'Java', 'Python', 'Django/Flask', '计算机相关专业', '全栈项目经验']",203,数搏科技,微型企业,南通,
开发工程师实习岗,本科,经验不限,"['Python', 'MySQL', '爬虫经验', '接受实习/在校生投递']",36,上海瓴略智能,微型企业,南通,
前后端开发工程师,大专,在校/应届,"['Node.js', 'Python', 'Java', '计算机/软件工程相关专业', '前端开发经验', 'han-link.cn']",42,汉联自动化,微型企业,南通,崇川区
编程老师,大专,经验不限,"['C/C++', 'Python', 'Java']",66,智三教育咨询,微型企业,南通,崇川区
大模型智能体研发工程师,本科,1-3年,"['不接受居家办公', 'Java', 'Python', 'Spring', 'SpringCloud', 'Nginx', 'MySQL', 'Redis', '架构设计经验', '微服务经验']",138,南研智联,小型企业,南通,
机器视觉工程师,硕士,1-3年,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'C++', 'Python', 'TensorFlow', 'PyTorch']",175,科美自动化,小型企业,南通,崇川区
视觉算法工程师,硕士,3-5年,"['大模型算法', '目标检测', '目标跟踪', '图像搜索', 'C/C++', 'Python', '优秀开源项目经历', '模型加速/性能优化']",540,某机械设备公司,小型企业,南通,
少儿机器人编程老师,本科,1-3年,"['编程', '少儿', '机器人']",42,神龙体育,微型企业,南通,
机器人乐高老师,本科,经验不限,"['兼职', '前台', '乐高老师', '编程老师']",24,南通梦禾宝藏文化传播,微型企业,南通,如皋市
运维开发,本科,经验不限,"['Java', 'Nginx', '通信相关专业', '系统运维', '运维开发经验', '计算机相关专业', 'Python/Shell']",72,畅淼,小型企业,南通,崇川区
AI系统架构师,本科,10年以上,['Java'],246,南通蜥蜴造物科技,小型企业,南通,崇川区
前端开发高级工程师,本科,1-3年,"['JavaScript', 'HTML5', 'CSS', 'Python', 'Java', '计算机/软件工程相关专业', '前端开发经验', '技术博客/开源项目有所贡献', '架构师经验', '接受居家办公']",150,南通莫吾体育科技,微型企业,南通,
Java程序员,硕士,经验不限,"['Java', 'SQL', 'CSS', 'Python', 'MySQL', 'Oracle', '英语']",150,裘祈,微型企业,南通,崇川区
软件开发工程师,本科,3-5年,"['C++', 'Python', 'QT']",138,中天,中大型企业,南通,
IT兼CAD工程师,本科,1-3年,"['Python', 'PyTorch', 'Linux开发/部署经验']",120,埃萨科技,小型企业,南通,
软件测试工程师,本科,3-5年,['Shell'],108,蜂巢科技,小型企业,南通,
